#,Years,Price,Model,Mileage,Condition,Usage Type,Owner#,Location
693,2020,25682,Prius LE FWD,42526,"Accident check
No issues reported",Personal,1.0,FL
694,2007,4950,Prius,199044,"Accident check
No issues reported",Personal,2.0,MO
695,2007,7795,Prius FWD,125512,"Accident check
1Accident reported",Personal,1.0,IL
696,2013,11500,Prius Three,119457,"Accident check
No issues reported",Personal,2.0,GA
697,2013,10200,Prius Five,142096,"Accident check
1Accident reported",Personal,2.0,NJ
698,2018,27025,Prius Four FWD,42292,"Accident check
No issues reported",Personal,1.0,PA
699,2018,17990,Prius Two Eco FWD,105632,"Accident check
No issues reported",Personal,2.0,NJ
700,2007,4995,Prius,193712,"Accident check
3Accidents reported",Personal,1.0,IL
701,2020,23045,Prius L Eco FWD,33454,"Accident check
No issues reported",Commercial,1.0,FL
702,2007,7950,Prius,143269,"Accident check
1Accident reported",Personal,1.0,CA
703,2006,4495,Prius FWD,196169,"Accident check
1Accident reported",Personal,1.0,PA
704,2008,6995,Prius,148652,"Accident check
No issues reported",Commercial,2.0,CA
705,2012,8995,Prius Two,166723,"Accident check
No issues reported",Personal,3.0,MN
706,2008,7477,Prius,116000,"Accident check
1Accident reported",Personal,2.0,AZ
708,2004,6995,Prius FWD,123276,"Accident check
No issues reported",Personal,2.0,WA
709,2009,7995,Prius Touring FWD,104691,"Accident check
1Accident reported",Personal,2.0,IL
710,2014,12799,Prius Four,122879,"Accident check
No issues reported",Personal,2.0,MD
711,2007,4800,Prius,217979,"Accident check
No issues reported",Personal,2.0,MA
712,2016,16800,Prius Two FWD,108987,"Accident check
No issues reported",Personal,1.0,CA
713,2008,7995,Prius Touring FWD,103867,"Accident check
No issues reported",Personal,2.0,VA
715,2017,21500,Prius Three Touring FWD,71169,"Accident check
No issues reported",Personal,1.0,FL
716,2007,7995,Prius Touring FWD,100596,"Accident check
No issues reported",Personal,2.0,VA
717,2015,18950,Prius Two,59363,"Accident check
No issues reported",Personal,1.0,AZ
718,2010,8990,Prius,148635,"Accident check
1Accident reported",Personal,4.0,NC
719,2010,6990,Prius,170146,"Accident check
1Accident reported",Personal,3.0,FL
720,2007,6995,Prius Touring FWD,116126,"Accident check
1Accident reported",Personal,2.0,NY
721,2008,7990,Prius Touring FWD,99635,"Accident check
No issues reported",Personal,4.0,TX
722,2013,11995,Prius,112913,"Accident check
No issues reported",Personal,1.0,NY
723,2010,10900,Prius,98854,"Accident check
No issues reported",Personal,3.0,PA
724,2010,7999,Prius,177356,"Accident check
2Accidents reported",Personal,3.0,CA
725,2007,7991,Prius FWD,162400,"Accident check
No issues reported",Personal,2.0,OR
726,2012,11995,Prius,103278,"Accident check
No issues reported",Personal,1.0,MI
727,2013,15975,Prius,80403,"Accident check
1Accident reported",Personal,3.0,WA
728,2013,7477,Prius Persona Series SE,185000,"Accident check
1Accident reported",Personal,2.0,AZ
729,2019,26465,Prius L Eco FWD,18649,"Accident check
No issues reported",Personal,1.0,FL
730,2013,16095,Prius Five,63500,"Accident check
No issues reported",Personal,1.0,CO
731,2014,12950,Prius Three,139515,"Accident check
No issues reported",Personal,2.0,CA
732,2017,15900,Prius Two FWD,145166,"Accident check
1Accident reported",Personal,1.0,CA
733,2015,18995,Prius Four,75496,"Accident check
No issues reported",Personal,2.0,WA
734,2014,15960,Prius Two,88025,"Accident check
No issues reported",Personal,3.0,IN
735,2010,10995,Prius,103961,"Accident check
No issues reported",Personal,3.0,IL
736,2020,24999,Prius LE FWD,43926,"Accident check
No issues reported",Commercial,2.0,FL
737,2013,10995,Prius Three,137806,"Accident check
No issues reported",Commercial,2.0,MD
738,2011,13967,Prius Three,37355,"Accident check
No issues reported",Personal,2.0,VA
739,2009,6977,Prius,173273,"Accident check
No issues reported",Personal,2.0,CO
740,2010,9690,Prius,146256,"Accident check
No issues reported",Personal,2.0,GA
741,2010,10900,Prius,93976,"Accident check
No issues reported",Personal,1.0,FL
742,2018,26588,Prius Two FWD,47131,"Accident check
No issues reported",Personal,1.0,CA
743,2007,6995,Prius,148475,"Accident check
1Accident reported",Personal,2.0,NC
744,2009,7495,Prius,183869,"Accident check
No issues reported",Personal,2.0,WA
745,2008,6495,Prius,160156,"Accident check
No issues reported",Personal,1.0,VA
746,2008,9995,Prius Touring FWD,91279,"Accident check
No issues reported",Personal,4.0,WA
747,2013,11995,Prius,127285,"Accident check
No issues reported",Personal,1.0,VA
748,2010,5899,Prius,254933,"Accident check
No issues reported",Personal,1.0,OR
749,2015,12250,Prius Two,151100,"Accident check
1Accident reported",Personal,3.0,CA
750,2014,10900,Prius Two,121685,"Accident check
1Accident reported",Personal,3.0,FL
751,2008,7980,Prius,117736,"Accident check
1Accident reported",Personal,2.0,IN
752,2013,13819,Prius Four,82617,"Accident check
1Accident reported",Personal,2.0,VA
753,2011,13301,Prius,57947,"Accident check
No issues reported",Personal,1.0,IL
754,2016,17991,Prius Three Touring FWD,112666,"Accident check
No issues reported",Personal,2.0,CA
755,2013,13650,Prius Three,107962,"Accident check
No issues reported",Personal,2.0,NV
756,2010,10517,Prius,97210,"Accident check
No issues reported",Personal,3.0,AZ
757,2010,5995,Prius,195750,"Accident check
No issues reported",Personal,2.0,FL
758,2019,23991,Prius LE FWD,79996,"Accident check
No issues reported",Personal,1.0,CA
759,2012,8900,Prius Two,173300,"Accident check
No issues reported",Personal,3.0,CA
760,2019,22798,Prius XLE FWD,79084,"Accident check
No issues reported",Personal,1.0,FL
761,2011,10495,Prius,132574,"Accident check
No issues reported",Personal,2.0,WA
762,2008,6999,Prius Liftback FWD,130115,"Accident check
2Accidents reported",Personal,3.0,CA
763,2019,27849,Prius XLE FWD,16170,"Accident check
No issues reported",Personal,2.0,GA
764,2010,4995,Prius,224495,"Accident check
1Accident reported",Commercial,2.0,GA
765,2010,10495,Prius,144483,"Accident check
No issues reported",Personal,2.0,CA
766,2007,7995,Prius Touring FWD,142610,"Accident check
No issues reported",Personal,1.0,CA
767,2005,6495,Prius FWD,120597,"Accident check
No issues reported",Personal,1.0,VA
768,2014,16995,Prius Two,68823,"Accident check
No issues reported",Personal,1.0,CA
769,2010,11597,Prius Three,100090,"Accident check
No issues reported",Personal,3.0,MN
770,2005,6295,Prius FWD,129488,"Accident check
No issues reported",Personal,2.0,VA
771,2017,19951,Prius Four FWD,104559,"Accident check
No issues reported",Personal,1.0,CA
773,2022,33988,Prius,5887,"Accident check
No issues reported",Personal,1.0,MO
774,2007,6995,Prius,150366,"Accident check
No issues reported",Personal,2.0,WI
776,2017,19999,Prius Two FWD,78513,"Accident check
1Accident reported",Commercial,3.0,NC
779,2013,10995,Prius Persona Series SE,122060,"Accident check
1Accident reported",Personal,4.0,AZ
780,2015,21998,Prius Persona Series,32827,"Accident check
No issues reported",Personal,1.0,CA
782,2009,5500,Prius Touring FWD,165345,"Accident check
1Accident reported",Personal,1.0,AR
784,2012,11900,Prius,116129,"Accident check
2Accidents reported",Personal,1.0,MO
785,2019,25555,Prius L Eco FWD,44544,"Accident check
No issues reported",Personal,1.0,CA
787,2014,13500,Prius Three,100232,"Accident check
1Accident reported",Commercial,3.0,IL
788,2018,24990,Prius Two FWD,60584,"Accident check
No issues reported",Personal,1.0,CA
789,2018,27988,Prius One FWD,21690,"Accident check
No issues reported",Personal,1.0,CA
791,2011,8495,Prius Three,159022,"Accident check
No issues reported",Personal,1.0,MD
794,2012,11490,Prius Three,100468,"Accident check
2Accidents reported",Personal,3.0,MD
797,2016,18990,Prius Three Touring FWD,99494,"Accident check
No issues reported",Commercial,1.0,CA
799,2015,15500,Prius Four,117077,"Accident check
1Accident reported",Personal,2.0,IN
800,2006,5495,Prius FWD,165152,"Accident check
No issues reported",Personal,3.0,VA
802,2018,28133,Prius Three FWD,35165,"Accident check
No issues reported",Personal,1.0,MO
803,2005,5990,Prius FWD,134652,"Accident check
No issues reported",Personal,4.0,IL
804,2016,21997,Prius Two Eco FWD,40521,"Accident check
No issues reported",Personal,2.0,CA
806,2017,26500,Prius Four Touring FWD,41376,"Accident check
No issues reported",Personal,1.0,OR
807,2007,6800,Prius,124793,"Accident check
No issues reported",Personal,1.0,WI
808,2011,8995,Prius Four,139902,"Accident check
1Accident reported",Personal,3.0,GA
810,2015,19190,Prius Four,49899,"Accident check
1Accident reported",Personal,2.0,IL
812,2012,11994,Prius Four,122508,"Accident check
No issues reported",Personal,3.0,CT
813,2013,9499,Prius Two,161607,"Accident check
No issues reported",Personal,2.0,VA
814,2013,10990,Prius Two,134161,"Accident check
No issues reported",Commercial,3.0,FL
815,2013,14000,Prius Three,74596,"Accident check
2Accidents reported",Personal,1.0,MA
817,2008,7900,Prius Touring FWD,145758,"Accident check
No issues reported",Commercial,2.0,OR
818,2015,16995,Prius Two,89555,"Accident check
No issues reported",Personal,2.0,IL
819,2015,16480,Prius Persona Series,108432,"Accident check
No issues reported",Personal,2.0,CA
820,2012,14000,Prius Two,84476,"Accident check
No issues reported",Personal,1.0,IN
821,2006,4250,Prius FWD,202000,"Accident check
No issues reported",Personal,2.0,MO
822,2009,7500,Prius,134442,"Accident check
No issues reported",Personal,3.0,MA
824,2007,2999,Prius,272121,"Accident check
No issues reported",Personal,6.0,VA
825,2017,22990,Prius Two FWD,50647,"Accident check
No issues reported",Personal,1.0,CA
830,2015,12950,Prius Persona Series,156014,"Accident check
No issues reported",Personal,3.0,IN
831,2014,14000,Prius Three,103560,"Accident check
2Accidents reported",Commercial,4.0,CO
832,2015,17999,Prius Two,90346,"Accident check
No issues reported",Commercial,2.0,WA
834,2018,29000,Prius Four FWD,11266,"Accident check
1Accident reported",Personal,1.0,TX
836,2008,5500,Prius Liftback FWD,188000,"Accident check
No issues reported",Personal,5.0,NC
837,2006,5399,Prius FWD,200358,"Accident check
2Accidents reported",Personal,2.0,OR
838,2007,5995,Prius Touring FWD,158490,"Accident check
1Accident reported",Personal,1.0,VA
839,2011,12500,Prius Four,93000,"Accident check
No issues reported",Personal,2.0,NC
841,2010,8990,Prius,144480,"Accident check
1Accident reported",Personal,1.0,TX
842,2009,6995,Prius Touring FWD,150642,"Accident check
No issues reported",Personal,2.0,NJ
843,2012,9995,Prius,145739,"Accident check
No issues reported",Personal,3.0,AZ
844,2019,27912,Prius L Eco FWD,18905,"Accident check
No issues reported",Personal,1.0,IL
845,2016,20753,Prius Two FWD,70934,"Accident check
No issues reported",Personal,2.0,TX
847,2013,12890,Prius Four,101685,"Accident check
No issues reported",Personal,1.0,CT
848,2005,6795,Prius FWD,111021,"Accident check
No issues reported",Personal,1.0,VA
849,2014,13714,Prius Three,119938,"Accident check
No issues reported",Commercial,3.0,KS
850,2018,25990,Prius Three Touring FWD,39080,"Accident check
No issues reported",Personal,1.0,MT
851,2006,7750,Prius FWD,121330,"Accident check
No issues reported",Personal,4.0,TX
852,2015,17288,Prius Two,86763,"Accident check
No issues reported",Personal,1.0,TX
853,2004,4595,Prius FWD,196960,"Accident check
No issues reported",Personal,4.0,VA
855,2012,11991,Prius Two,110612,"Accident check
No issues reported",Personal,2.0,FL
856,2007,5900,Prius Touring FWD,157000,"Accident check
No issues reported",Personal,2.0,MO
857,2015,17995,Prius One,62963,"Accident check
No issues reported",Personal,1.0,WI
858,2010,9295,Prius,125724,"Accident check
No issues reported",Personal,3.0,NY
859,2017,20233,Prius Two FWD,84960,"Accident check
No issues reported",Personal,1.0,OH
860,2014,11995,Prius Five,144725,"Accident check
No issues reported",Personal,2.0,CA
861,2015,18995,Prius Persona Series,54122,"Accident check
No issues reported",Personal,1.0,TX
862,2017,18995,Prius Two FWD,96802,"Accident check
1Accident reported",Commercial,2.0,IN
863,2012,11000,Prius Two,139006,"Accident check
1Accident reported",Personal,2.0,MI
864,2014,12999,Prius,131600,"Accident check
1Accident reported",Commercial,6.0,WA
866,2012,9999,Prius,114830,"Accident check
1Accident reported",Commercial,4.0,FL
867,2008,5950,Prius Liftback FWD,146366,"Accident check
No issues reported",Personal,2.0,TX
868,2015,17995,Prius Persona Series,90586,"Accident check
No issues reported",Personal,2.0,CA
869,2015,19300,Prius Persona Series,41796,"Accident check
1Accident reported",Personal,1.0,OH
870,2008,7500,Prius Touring FWD,110000,"Accident check
No issues reported",Commercial,3.0,MO
871,2013,14950,Prius Three,89989,"Accident check
1Accident reported",Personal,1.0,CA
873,2012,14500,Prius Two,68378,"Accident check
1Accident reported",Commercial,2.0,CA
874,2014,13995,Prius Two,98900,"Accident check
No issues reported",Personal,2.0,CT
875,2018,24999,Prius Three FWD,47746,"Accident check
No issues reported",Commercial,2.0,FL
877,2012,8950,Prius,148678,"Accident check
2Accidents reported",Personal,2.0,NC
878,2011,11999,Prius Five,86899,"Accident check
No issues reported",Personal,3.0,GA
880,2012,9995,Prius One,161587,"Accident check
1Accident reported",Personal,2.0,CA
881,2013,13450,Prius One,88473,"Accident check
No issues reported",Personal,4.0,NY
882,2008,6888,Prius FWD,183335,"Accident check
No issues reported",Personal,4.0,CA
884,2011,8995,Prius,157461,"Accident check
No issues reported",Personal,2.0,SC
886,2010,7950,Prius,162375,"Accident check
2Accidents reported",Commercial,6.0,IL
888,2013,13820,Prius Four,105444,"Accident check
No issues reported",Personal,1.0,WI
889,2019,28791,Prius LE AWD-e,17112,"Accident check
No issues reported",Personal,1.0,CA
890,2012,11900,Prius Three,108397,"Accident check
No issues reported",Personal,2.0,FL
891,2012,11997,Prius Three,130102,"Accident check
No issues reported",Personal,3.0,WA
892,2015,18998,Prius Persona Series,69572,"Accident check
No issues reported",Personal,1.0,MN
893,2013,11495,Prius Two,145465,"Accident check
No issues reported",Personal,3.0,IN
894,2005,6500,Prius FWD,146884,"Accident check
1Accident reported",Personal,3.0,CA
895,2012,13960,Prius Four,108926,"Accident check
No issues reported",Personal,2.0,IN
896,2013,15357,Prius Four,92724,"Accident check
No issues reported",Personal,2.0,OH
897,2014,9989,Prius Two,159636,"Accident check
1Accident reported",Personal,2.0,TN
898,2007,5998,Prius Touring FWD,155000,"Accident check
No issues reported",Personal,3.0,GA
899,2012,12321,Prius Two,95410,"Accident check
No issues reported",Personal,3.0,FL
900,2012,16664,Prius Four,50333,"Accident check
No issues reported",Personal,2.0,OH
903,2014,17299,Prius Two,47218,"Accident check
No issues reported",Personal,3.0,CA
904,2007,4997,Prius,196007,"Accident check
1Accident reported",Personal,2.0,MA
906,2015,19992,Prius Two,61337,"Accident check
No issues reported",Personal,1.0,WA
909,2011,9499,Prius Two,138499,"Accident check
No issues reported",Personal,4.0,VA
910,2008,5995,Prius,181583,"Accident check
No issues reported",Personal,4.0,KS
911,2006,7000,Prius FWD,147086,"Accident check
No issues reported",Personal,2.0,WA
912,2016,10999,Prius Two Eco FWD,166866,"Accident check
No issues reported",Personal,1.0,FL
913,2011,10995,Prius,136531,"Accident check
No issues reported",Personal,2.0,CA
914,2012,10995,Prius Four,153759,"Accident check
No issues reported",Personal,3.0,OR
915,2010,7995,Prius Five,158000,"Accident check
1Accident reported",Personal,2.0,FL
916,2019,25777,Prius L Eco FWD,45224,"Accident check
No issues reported",Personal,1.0,CA
917,2009,7584,Prius,145145,"Accident check
No issues reported",Personal,1.0,PA
919,2007,5999,Prius FWD,196000,"Accident check
No issues reported",Personal,2.0,VA
920,2016,15999,Prius Three FWD,128450,"Accident check
No issues reported",Personal,2.0,CA
923,2013,9995,Prius Four,163049,"Accident check
No issues reported",Personal,1.0,IL
924,2006,6999,Prius FWD,171267,"Accident check
1Accident reported",Personal,2.0,OR
925,2006,4900,Prius FWD,200000,"Accident check
1Accident reported",Personal,1.0,CA
926,2011,10751,Prius,114550,"Accident check
No issues reported",Personal,2.0,FL
927,2009,7995,Prius,122520,"Accident check
1Accident reported",Personal,4.0,VA
928,2008,6596,Prius Touring FWD,138200,"Accident check
2Accidents reported",Personal,2.0,FL
929,2017,21987,Prius Four FWD,66393,"Accident check
No issues reported",Personal,1.0,VA
931,2021,28999,Prius,50237,"Accident check
No issues reported",Personal,1.0,CA
932,2019,31990,Prius Limited FWD,4881,"Accident check
No issues reported",Personal,1.0,CA
933,2018,24490,Prius Four FWD,67747,"Accident check
No issues reported",Personal,1.0,WI
934,2012,14985,Prius Three,81092,"Accident check
No issues reported",Personal,2.0,CA
936,2011,8450,Prius,157000,"Accident check
1Accident reported",Personal,3.0,TX
937,2015,16999,Prius Four,91463,"Accident check
No issues reported",Personal,1.0,PA
938,2008,7795,Prius Touring FWD,145625,"Accident check
No issues reported",Personal,1.0,VA
939,2010,6702,Prius Two,163959,"Accident check
1Accident reported",Personal,2.0,PA
942,2021,33989,Prius 2020 Edition FWD,2967,"Accident check
No issues reported",Personal,1.0,CA
944,2007,6996,Prius Touring FWD,139916,"Accident check
No issues reported",Personal,1.0,WI
945,2010,13950,Prius Three,71210,"Accident check
No issues reported",Personal,2.0,CA
946,2010,7999,Prius,175752,"Accident check
No issues reported",Personal,4.0,CA
947,2020,25375,Prius L Eco FWD,34762,"Accident check
No issues reported",Personal,2.0,CA
948,2008,4995,Prius,204966,"Accident check
No issues reported",Personal,2.0,NH
949,2015,14914,Prius Two,109037,"Accident check
No issues reported",Personal,1.0,CT
950,2010,8995,Prius Two,150109,"Accident check
No issues reported",Commercial,3.0,CA
951,2013,12990,Prius Five,125352,"Accident check
No issues reported",Personal,4.0,NJ
953,2015,9995,Prius Three,169115,"Accident check
1Accident reported",Personal,1.0,TX
954,2018,29788,Prius Four FWD,13409,"Accident check
No issues reported",Personal,2.0,WA
955,2012,12991,Prius Three,116773,"Accident check
No issues reported",Personal,1.0,NM
956,2013,12980,Prius One,112048,"Accident check
No issues reported",Personal,2.0,VA
957,2010,10495,Prius,126995,"Accident check
No issues reported",Personal,3.0,CA
958,2002,4700,Prius FWD,155565,"Accident check
No issues reported",Personal,3.0,CA
959,2015,21599,Prius Persona Series,47654,"Accident check
No issues reported",Personal,1.0,CA
961,2010,7699,Prius,181210,"Accident check
No issues reported",Commercial,2.0,MN
962,2017,18990,Prius One FWD,89210,"Accident check
No issues reported",Personal,2.0,FL
963,2012,10500,Prius One,153028,"Accident check
1Accident reported",Commercial,2.0,NM
964,2011,9709,Prius Two,122910,"Accident check
No issues reported",Personal,1.0,MA
965,2015,20900,Prius Two,53366,"Accident check
No issues reported",Personal,1.0,CA
966,2010,11667,Prius,104516,"Accident check
No issues reported",Commercial,4.0,OR
967,2013,11081,Prius Four,136680,"Accident check
No issues reported",Personal,2.0,FL
968,2010,6995,Prius,205448,"Accident check
1Accident reported",Personal,8.0,KY
969,2020,27388,Prius LE FWD,37065,"Accident check
No issues reported",Personal,1.0,CA
971,2014,12999,Prius Four,132020,"Accident check
No issues reported",Personal,1.0,CA
972,2018,27980,Prius,35806,"Accident check
No issues reported",Personal,1.0,TN
974,2014,18390,Prius Four,34968,"Accident check
No issues reported",Personal,2.0,TX
975,2016,21750,Prius Three Touring FWD,75038,"Accident check
No issues reported",Personal,1.0,WA
976,2012,9495,Prius,155947,"Accident check
No issues reported",Personal,2.0,TN
977,2017,15995,Prius One FWD,130374,"Accident check
2Accidents reported",Commercial,2.0,VA
978,2009,5495,Prius Touring FWD,173907,"Accident check
1Accident reported",Personal,2.0,NJ
980,2009,6995,Prius Liftback FWD,134590,"Accident check
No issues reported",Personal,1.0,VA
982,2016,17949,Prius Two Eco FWD,102576,"Accident check
No issues reported",Personal,2.0,CO
983,2012,9995,Prius Two,131438,"Accident check
1Accident reported",Personal,2.0,NY
984,2010,8488,Prius,162371,"Accident check
No issues reported",Personal,2.0,IL
985,2014,13840,Prius Two,139529,"Accident check
No issues reported",Personal,2.0,CA
987,2011,11000,Prius One,90970,"Accident check
1Accident reported",Personal,1.0,MO
988,2008,5500,Prius,223540,"Accident check
No issues reported",Personal,1.0,OR
989,2015,15715,Prius Persona Series,115758,"Accident check
No issues reported",Personal,3.0,SC
990,2013,11290,Prius Two,128988,"Accident check
No issues reported",Personal,2.0,NJ
991,2010,12999,Prius,88614,"Accident check
No issues reported",Personal,2.0,CA
993,2012,12495,Prius Two,116687,"Accident check
No issues reported",Personal,3.0,CA
994,2011,8999,Prius,162674,"Accident check
1Accident reported",Personal,1.0,CA
995,2014,12499,Prius Four,140409,"Accident check
No issues reported",Personal,1.0,CO
996,2020,29998,Prius LE AWD-e,27341,"Accident check
No issues reported",Personal,1.0,CA
997,2012,11995,Prius,125808,"Accident check
No issues reported",Personal,2.0,WA
998,2007,7999,Prius Touring FWD,94471,"Accident check
No issues reported",Personal,1.0,MA
999,2008,4850,Prius Touring FWD,191724,"Accident check
3Accidents reported",Personal,2.0,NJ
1000,2010,8995,Prius Three,155000,"Accident check
No issues reported",Personal,4.0,IL
1001,2020,28881,Prius XLE FWD,28447,"Accident check
No issues reported",Personal,1.0,FL
1002,2013,5995,Prius One,199173,"Accident check
2Accidents reported",Personal,2.0,VA
1003,2016,18999,Prius Two Eco FWD,100044,"Accident check
No issues reported",Personal,1.0,WA
1004,2011,9997,Prius Four,127213,"Accident check
No issues reported",Personal,1.0,FL
1005,2010,10495,Prius,105766,"Accident check
No issues reported",Commercial,3.0,VA
1006,2013,10862,Prius Five,168091,"Accident check
1Accident reported",Commercial,2.0,IN
1008,2015,14950,Prius Two,128576,"Accident check
No issues reported",Personal,2.0,CA
1009,2018,23731,Prius Two FWD,60050,"Accident check
1Accident reported",Personal,1.0,WI
1010,2016,16000,Prius Four FWD,151717,"Accident check
No issues reported",Personal,2.0,OH
1011,2006,5885,Prius FWD,137814,"Accident check
1Accident reported",Personal,3.0,NJ
1013,2009,9800,Prius,104459,"Accident check
No issues reported",Personal,1.0,IN
1014,2007,5900,Prius Touring FWD,214986,"Accident check
No issues reported",Personal,1.0,OR
1015,2009,8669,Prius,125461,"Accident check
No issues reported",Commercial,4.0,NC
1016,2007,8251,Prius,135060,"Accident check
1Accident reported",Personal,3.0,CA
1017,2006,4999,Prius FWD,202368,"Accident check
4Accidents reported",Commercial,3.0,TN
1018,2009,5994,Prius Liftback FWD,176028,"Accident check
No issues reported",Personal,2.0,NC
1019,2021,34200,Prius XLE AWD-e,12880,"Accident check
No issues reported",Personal,1.0,OR
1020,2012,12999,Prius Two,107271,"Accident check
No issues reported",Personal,2.0,CA
1021,2010,8700,Prius,156197,"Accident check
No issues reported",Personal,8.0,MO
1022,2016,23990,Prius Four FWD,42077,"Accident check
No issues reported",Personal,1.0,CO
1023,2008,8995,Prius,107856,"Accident check
No issues reported",Personal,2.0,CA
1025,2012,12977,Prius,105075,"Accident check
No issues reported",Personal,1.0,OR
1026,2007,5950,Prius Touring FWD,144062,"Accident check
No issues reported",Commercial,2.0,TX
1027,2013,9950,Prius Three,167100,"Accident check
1Accident reported",Personal,3.0,IL
1030,2015,17995,Prius Persona Series,93273,"Accident check
No issues reported",Personal,1.0,CA
1031,2010,11100,Prius,103383,"Accident check
No issues reported",Personal,2.0,CA
1032,2019,29991,Prius L Eco FWD,13070,"Accident check
No issues reported",Personal,1.0,WA
1033,2010,8900,Prius,133010,"Accident check
No issues reported",Personal,1.0,TN
1034,2007,5695,Prius Touring FWD,160368,"Accident check
No issues reported",Personal,3.0,MA
1035,2009,7377,Prius Touring FWD,162673,"Accident check
1Accident reported",Personal,1.0,CA
1036,2012,5490,Prius,216156,"Accident check
No issues reported",Personal,2.0,FL
1037,2015,22350,Prius Two,31499,"Accident check
No issues reported",Personal,2.0,CA
1038,2011,7650,Prius Two,174210,"Accident check
1Accident reported",Personal,3.0,TX
1039,2005,6999,Prius FWD,132769,"Accident check
1Accident reported",Personal,3.0,CO
1040,2015,18995,Prius Persona Series,69917,"Accident check
No issues reported",Personal,3.0,OK
1041,2007,5199,Prius Touring FWD,196278,"Accident check
No issues reported",Personal,3.0,TN
1042,2017,21990,Prius Two FWD,63824,"Accident check
No issues reported",Personal,1.0,IL
1043,2018,26999,Prius Two FWD,23000,"Accident check
No issues reported",Personal,2.0,CA
1045,2016,22999,Prius Three FWD,40461,"Accident check
No issues reported",Personal,1.0,IL
1046,2018,23881,Prius Four FWD,51927,"Accident check
No issues reported",Personal,1.0,FL
1047,2013,11990,Prius Five,159000,"Accident check
No issues reported",Personal,3.0,CA
1048,2009,7000,Prius,164034,"Accident check
No issues reported",Personal,2.0,CT
1049,2010,9500,Prius,129801,"Accident check
No issues reported",Personal,1.0,VA
1050,2011,7299,Prius Four,183000,"Accident check
No issues reported",Personal,3.0,MA
1051,2008,6700,Prius Liftback FWD,127662,"Accident check
No issues reported",Personal,2.0,MA
1052,2015,17499,Prius Four,63500,"Accident check
No issues reported",Personal,1.0,NJ
1053,2015,16560,Prius Two,107514,"Accident check
No issues reported",Personal,1.0,IN
1055,2010,6995,Prius,190683,"Accident check
1Accident reported",Personal,2.0,NH
1056,2011,14000,Prius Two,46240,"Accident check
No issues reported",Personal,1.0,VA
1057,2008,8950,Prius Touring FWD,89788,"Accident check
No issues reported",Personal,3.0,NC
1058,2008,9490,Prius,77838,"Accident check
No issues reported",Personal,4.0,IL
1059,2010,8295,Prius Four,173584,"Accident check
1Accident reported",Personal,2.0,GA
1061,2009,6995,Prius,166213,"Accident check
No issues reported",Commercial,3.0,VA
1062,2007,6995,Prius,145446,"Accident check
1Accident reported",Personal,3.0,OH
1063,2016,17985,Prius Three FWD,104976,"Accident check
No issues reported",Personal,2.0,CA
1064,2017,23477,Prius Two FWD,54499,"Accident check
No issues reported",Personal,1.0,WI
1065,2014,14784,Prius Five,98202,"Accident check
1Accident reported",Personal,3.0,VA
1066,2010,6495,Prius,182779,"Accident check
2Accidents reported",Personal,5.0,VA
1067,2014,12900,Prius Two,150534,"Accident check
No issues reported",Personal,3.0,CA
1068,2010,7998,Prius,161782,"Accident check
1Accident reported",Personal,2.0,TX
1070,2011,4995,Prius Five,274199,"Accident check
No issues reported",Personal,8.0,CA
1071,2013,7995,Prius Five,203195,"Accident check
No issues reported",Personal,1.0,TX
1072,2013,11495,Prius Three,156311,"Accident check
No issues reported",Commercial,4.0,CA
1073,2007,4995,Prius,210461,"Accident check
1Accident reported",Commercial,3.0,MI
1074,2010,5495,Prius,221380,"Accident check
No issues reported",Personal,4.0,VA
1075,2015,17984,Prius Two,84743,"Accident check
No issues reported",Personal,1.0,NY
1076,2010,9995,Prius,168000,"Accident check
No issues reported",Personal,2.0,OR
1078,2012,7995,Prius One,160691,"Accident check
1Accident reported",Personal,2.0,TN
1079,2020,29949,Prius,18735,"Accident check
No issues reported",Personal,1.0,WA
1080,2018,15495,Prius Three Touring FWD,155669,"Accident check
1Accident reported",Personal,1.0,CA
1081,2015,19500,Prius Persona Series,62363,"Accident check
No issues reported",Personal,1.0,GA
1082,2015,18630,Prius Persona Series,88091,"Accident check
No issues reported",Personal,2.0,OR
1083,2017,22768,Prius Two FWD,48986,"Accident check
No issues reported",Personal,1.0,IL
1084,2012,17598,Prius Four,69675,"Accident check
No issues reported",Personal,4.0,CA
1085,2008,8069,Prius,118976,"Accident check
No issues reported",Personal,2.0,SC
1086,2013,15850,Prius,75238,"Accident check
No issues reported",Personal,3.0,MO
1087,2010,12099,Prius,83986,"Accident check
1Accident reported",Personal,2.0,CO
1088,2012,11520,Prius Two,130439,"Accident check
No issues reported",Personal,1.0,GA
1089,2010,9299,Prius Three,159515,"Accident check
No issues reported",Personal,2.0,CO
1090,2007,8995,Prius,104508,"Accident check
No issues reported",Personal,1.0,CA
1091,2015,16980,Prius Persona Series,104817,"Accident check
No issues reported",Personal,1.0,CO
1092,2008,8988,Prius Touring FWD,133057,"Accident check
No issues reported",Commercial,3.0,WA
1093,2015,19245,Prius,67944,"Accident check
No issues reported",Personal,2.0,CA
1094,2017,18499,Prius,107389,"Accident check
No issues reported",Personal,1.0,WI
1095,2011,8650,Prius Two,164215,"Accident check
No issues reported",Commercial,3.0,NC
1096,2021,30800,Prius XLE AWD-e,28722,"Accident check
No issues reported",Personal,1.0,NY
