#,Years,Price,Model,Mileage,Condition,Usage Type,Owner#,Location
188,2010,9499,Prius,124755,"Accident check
No issues reported",Personal,2.0,CA
189,2016,16999,Prius Three FWD,95500,"Accident check
No issues reported",Personal,1.0,MA
190,2015,17995,Prius Persona Series,81806,"Accident check
No issues reported",Personal,1.0,OR
191,2016,15995,Prius Two FWD,113175,"Accident check
No issues reported",Personal,2.0,CA
192,2019,24786,Prius Limited FWD,76308,"Accident check
No issues reported",Personal,1.0,FL
194,2017,21000,Prius Four Touring FWD,80497,"Accident check
No issues reported",Personal,2.0,GA
195,2015,19600,Prius Five,53010,"Accident check
No issues reported",Commercial,3.0,MD
196,2018,25881,Prius Three FWD,28978,"Accident check
No issues reported",Personal,1.0,OR
197,2018,25850,Prius Four FWD,21887,"Accident check
No issues reported",Personal,1.0,FL
198,2017,24102,Prius Two FWD,38659,"Accident check
No issues reported",Personal,2.0,WA
199,2010,12990,Prius Four,70195,"Accident check
No issues reported",Personal,2.0,GA
200,2005,4900,Prius FWD,152290,"Accident check
No issues reported",Personal,2.0,GA
201,2010,7250,Prius,144297,"Accident check
No issues reported",Personal,2.0,FL
202,2015,10999,Prius Four,170000,"Accident check
No issues reported",Commercial,3.0,CA
203,2013,11990,Prius One,109257,"Accident check
No issues reported",Personal,2.0,CA
204,2010,7795,Prius,153575,"Accident check
No issues reported",Personal,3.0,CA
205,2015,15450,Prius Two,102397,"Accident check
No issues reported",Personal,2.0,CA
206,2017,22977,Prius Two FWD,58978,"Accident check
No issues reported",Personal,1.0,CA
207,2016,17999,Prius Two FWD,99835,"Accident check
No issues reported",Personal,2.0,CA
208,2016,18589,Prius Two Eco FWD,71570,"Accident check
No issues reported",Personal,2.0,TN
209,2015,16500,Prius Persona Series,92283,"Accident check
No issues reported",Personal,2.0,CA
210,2010,8998,Prius,152834,"Accident check
1Accident reported",Personal,1.0,OR
211,2010,6300,Prius,189000,"Accident check
No issues reported",Personal,3.0,AZ
212,2012,10750,Prius,96855,"Accident check
1Accident reported",Personal,3.0,IA
213,2010,10595,Prius,111313,"Accident check
No issues reported",Personal,3.0,NV
214,2012,15400,Prius Four,54292,"Accident check
1Accident reported",Personal,2.0,TX
215,2021,35052,Prius XLE AWD-e,2782,"Accident check
No issues reported",Personal,1.0,WA
216,2020,22524,Prius L Eco FWD,49668,"Accident check
1Accident reported",Commercial,1.0,NC
217,2013,16494,Prius Four,36940,"Accident check
No issues reported",Personal,2.0,MA
218,2022,30550,Prius,5346,"Accident check
No issues reported",Personal,1.0,MA
219,2016,19576,Prius Two Eco FWD,66171,"Accident check
No issues reported",Personal,1.0,OH
220,2018,19881,Prius Four FWD,96207,"Accident check
No issues reported",Personal,1.0,FL
221,2015,15700,Prius Four,103956,"Accident check
No issues reported",Commercial,3.0,NM
222,2011,8995,Prius,118710,"Accident check
1Accident reported",Personal,3.0,VA
223,2006,6490,Prius FWD,115000,"Accident check
No issues reported",Personal,3.0,GA
224,2015,16994,Prius Three,72277,"Accident check
No issues reported",Personal,2.0,SC
225,2010,7500,Prius,154380,"Accident check
1Accident reported",Personal,3.0,PA
226,2016,15949,Prius Two Eco FWD,98224,"Accident check
No issues reported",Commercial,2.0,UT
227,2013,9995,Prius,153138,"Accident check
No issues reported",Personal,1.0,CA
228,2019,26607,Prius LE AWD-e,33441,"Accident check
1Accident reported",Personal,2.0,OH
229,2018,23977,Prius Four FWD,43720,"Accident check
No issues reported",Personal,1.0,FL
230,2010,9977,Prius,105523,"Accident check
No issues reported",Personal,1.0,IL
231,2010,7995,Prius,172216,"Accident check
No issues reported",Personal,4.0,CA
232,2016,17999,Prius Two FWD,99982,"Accident check
No issues reported",Personal,3.0,KS
233,2019,26995,Prius LE AWD-e,25252,"Accident check
No issues reported",Personal,1.0,MO
235,2016,19900,Prius Two FWD,55723,"Accident check
No issues reported",Personal,2.0,FL
236,2012,9500,Prius Four,117461,"Accident check
1Accident reported",Personal,3.0,FL
237,2010,8995,Prius,147010,"Accident check
No issues reported",Personal,3.0,NY
238,2017,24995,Prius Three Touring FWD,18200,"Accident check
No issues reported",Personal,1.0,MA
239,2015,12490,Prius Persona Series,135742,"Accident check
No issues reported",Personal,2.0,FL
240,2015,17550,Prius Two,79011,"Accident check
No issues reported",Personal,1.0,OR
241,2011,6900,Prius Two,171000,"Accident check
No issues reported",Personal,1.0,IL
242,2010,5500,Prius,185000,"Accident check
1Accident reported",Personal,3.0,OK
243,2013,14999,Prius Four,79035,"Accident check
No issues reported",Personal,3.0,CA
244,2016,21299,Prius Three Touring FWD,41409,"Accident check
1Accident reported",Personal,3.0,CA
245,2020,23994,Prius LE FWD,36823,"Accident check
No issues reported",Commercial,2.0,FL
246,2019,26328,Prius LE FWD,41462,"Accident check
No issues reported",Personal,1.0,MO
247,2015,14995,Prius Two,106686,"Accident check
No issues reported",Commercial,2.0,CA
248,2010,8400,Prius,145615,"Accident check
No issues reported",Commercial,2.0,GA
250,2015,12950,Prius,151391,"Accident check
No issues reported",Personal,2.0,WA
251,2019,21700,Prius L Eco FWD,92595,"Accident check
No issues reported",Personal,1.0,CA
252,2010,8795,Prius,126963,"Accident check
No issues reported",Commercial,2.0,CT
253,2017,15099,Prius Two FWD,130764,"Accident check
No issues reported",Commercial,1.0,MA
254,2010,8995,Prius,124400,"Accident check
No issues reported",Commercial,4.0,TX
255,2020,25990,Prius LE FWD,23186,"Accident check
No issues reported",Commercial,1.0,HI
256,2019,24495,Prius L Eco FWD,52502,"Accident check
1Accident reported",Commercial,1.0,CO
257,2020,23150,Prius LE FWD,60088,"Accident check
No issues reported",Commercial,1.0,TX
258,2018,25998,Prius Two FWD,28325,"Accident check
No issues reported",Personal,1.0,CA
259,2018,25985,Prius Four FWD,32425,"Accident check
No issues reported",Personal,2.0,CA
261,2020,24495,Prius L Eco FWD,10712,"Accident check
1Accident reported",Personal,1.0,TX
262,2019,26990,Prius L Eco FWD,27631,"Accident check
No issues reported",Personal,1.0,CA
263,2014,13994,Prius Two,96659,"Accident check
No issues reported",Personal,1.0,OH
264,2019,28906,Prius XLE AWD-e,20170,"Accident check
No issues reported",Personal,1.0,MO
265,2016,14991,Prius Two FWD,120000,"Accident check
1Accident reported",Personal,1.0,MI
266,2004,4999,Prius FWD,162955,"Accident check
No issues reported",Personal,3.0,OH
267,2015,18999,Prius Three,69600,"Accident check
No issues reported",Personal,2.0,OR
268,2011,9000,Prius Two,143223,"Accident check
No issues reported",Personal,2.0,WA
269,2009,7900,Prius,140650,"Accident check
No issues reported",Personal,2.0,CA
270,2020,23300,Prius LE FWD,58488,"Accident check
No issues reported",Commercial,1.0,TX
272,2010,6995,Prius,183000,"Accident check
No issues reported",Personal,2.0,IN
273,2019,24631,Prius LE FWD,63741,"Accident check
No issues reported",Commercial,2.0,CA
274,2009,7977,Prius Liftback FWD,135857,"Accident check
No issues reported",Personal,5.0,CA
275,2007,7999,Prius,125250,"Accident check
No issues reported",Personal,3.0,WA
276,2006,4900,Prius FWD,171295,"Accident check
No issues reported",Personal,1.0,VA
277,2017,19500,Prius One FWD,65113,"Accident check
No issues reported",Personal,2.0,WA
278,2017,24999,Prius Four Touring FWD,27748,"Accident check
1Accident reported",Personal,1.0,FL
279,2008,6990,Prius,98554,"Accident check
No issues reported",Personal,2.0,TX
280,2010,10900,Prius,80007,"Accident check
3Accidents reported",Personal,2.0,IL
281,2017,21895,Prius Two FWD,63092,"Accident check
No issues reported",Personal,1.0,MN
282,2008,6950,Prius,125218,"Accident check
No issues reported",Personal,1.0,CA
283,2010,11110,Prius Three,101772,"Accident check
No issues reported",Personal,2.0,CA
284,2016,19980,Prius Two Eco FWD,62766,"Accident check
No issues reported",Personal,1.0,WA
